wet_temp,GID_0,NAME_0,GID_1,NAME_1,ENGTYPE_1
3.82109,DEU,Germany,DEU.12_1,Saarland,State
16.27662787,CZE,Czech Republic,CZE.1_1,Jihočeský,Region
17.29169984,CZE,Czech Republic,CZE.2_1,Jihomoravský,Region
14.30113876,SVK,Slovakia,SVK.8_1,Žilinský,Region
16.5009942,CZE,Czech Republic,CZE.14_1,Zlínský,Region
15.40671467,SVK,Slovakia,SVK.5_1,Prešovský,Region
14.02793592,UKR,Ukraine,UKR.7_1,Ivano-Frankivs'k,Region
18.56429813,RUS,Russia,RUS.82_1,Yevrey,Autonomous Region
18.99204044,USA,United States,USA.24_1,Minnesota,State
8.0012703,JEY,Jersey,JEY.9_1,Saint Ouen,Parish
16.39012004,SVK,Slovakia,SVK.6_1,Trenčiansky,Region
15.79816931,MNG,Mongolia,MNG.12_1,Hentiy,Province
13.84852161,FRA,France,FRA.8_1,Île-de-France,Region
15.40746594,UKR,Ukraine,UKR.23_1,Transcarpathia,Region
18.81473142,UKR,Ukraine,UKR.13_1,Kirovohrad,Region
18.64029721,UKR,Ukraine,UKR.5_1,Dnipropetrovs'k,Region
18.69305405,UKR,Ukraine,UKR.6_1,Donets'k,Region
14.73738881,KAZ,Kazakhstan,KAZ.4_1,Atyrau,Region
18.4872299,CHN,China,CHN.28_1,Xinjiang Uygur,Autonomous Region
12.28106595,MNG,Mongolia,MNG.1_1,Arhangay,Province
14.520175,MNG,Mongolia,MNG.16_1,Orhon,Municipality
15.88119685,MNG,Mongolia,MNG.20_1,Töv,Province
0.169687459,USA,United States,USA.48_1,Washington,State
1.637453751,USA,United States,USA.13_1,Idaho,State
12.3888843,USA,United States,USA.27_1,Montana,State
17.73088202,USA,United States,USA.35_1,North Dakota,State
16.98824471,AUT,Austria,AUT.3_1,Niederösterreich,State
15.44943895,SVK,Slovakia,SVK.1_1,Banskobystrický,Region
16.49133858,SVK,Slovakia,SVK.3_1,Košický,Region
16.00304829,MNG,Mongolia,MNG.13_1,Hovd,Province
7.695228729,FRA,France,FRA.3_1,Bretagne,Region
