,elevation,GID_0,NAME_0,GID_1,NAME_1,ENGTYPE_1
MKD.82_1,MKD,Macedonia,MKD.82_1,Zajas,Municipality,852.0
MKD.53_1,MKD,Macedonia,MKD.53_1,Oslomej,Municipality,790.0
MKD.21_1,MKD,Macedonia,MKD.21_1,Dolneni,Municipality,579.0
MKD.11_1,MKD,Macedonia,MKD.11_1,Čaška,Municipality,482.0
MKD.27_1,MKD,Macedonia,MKD.27_1,Gradsko,Municipality,444.0
MKD.49_1,MKD,Macedonia,MKD.49_1,Negotino,Municipality,442.5
MKD.59_1,MKD,Macedonia,MKD.59_1,Radoviš,Municipality,470.0
GRC.6_1,GRC,Greece,GRC.6_1,Macedonia and Thrace,Decentralized administration,523.784
TUR.67_1,TUR,Turkey,TUR.67_1,Samsun,Province,623.918918918919
TUR.9_1,TUR,Turkey,TUR.9_1,Ardahan,Province,696.8421052631579
PRT.15_1,PRT,Portugal,PRT.15_1,Porto,District,1325.4444444444443
ITA.5_1,ITA,Italy,ITA.5_1,Campania,Region,802.1818181818181
ALB.3_1,ALB,Albania,ALB.3_1,Durrës,County,1184.0
ALB.11_1,ALB,Albania,ALB.11_1,Tiranë,County,1103.6
MKD.13_1,MKD,Macedonia,MKD.13_1,Centar župa,Municipality,1001.0
MKD.17_1,MKD,Macedonia,MKD.17_1,Debarca,Municipality,924.0
MKD.22_1,MKD,Macedonia,MKD.22_1,Drugovo,Municipality,802.0
MKD.40_1,MKD,Macedonia,MKD.40_1,Kruševo,Municipality,662.0
MKD.57_1,MKD,Macedonia,MKD.57_1,Prilep,Municipality,512.8
MKD.32_1,MKD,Macedonia,MKD.32_1,Kavadartsi,Municipality,501.25
MKD.20_1,MKD,Macedonia,MKD.20_1,Demir Kapija,Municipality,444.0
MKD.75_1,MKD,Macedonia,MKD.75_1,Valandovo,Municipality,445.0
MKD.69_1,MKD,Macedonia,MKD.69_1,Strumitsa,Municipality,460.0
MKD.7_1,MKD,Macedonia,MKD.7_1,Bosilovo,Municipality,471.0
MKD.51_1,MKD,Macedonia,MKD.51_1,Novo Selo,Municipality,507.0
TUR.73_1,TUR,Turkey,TUR.73_1,Tekirdag,Province,629.36
TUR.40_1,TUR,Turkey,TUR.40_1,Istanbul,Province,718.3684210526316
TUR.81_1,TUR,Turkey,TUR.81_1,Zinguldak,Province,820.1428571428571
TUR.43_1,TUR,Turkey,TUR.43_1,Karabük,Province,701.5
TUR.10_1,TUR,Turkey,TUR.10_1,Artvin,Province,916.1724137931035
AZE.4_1,AZE,Azerbaijan,AZE.4_1,Ganja-Qazakh,Region,475.1162790697674
UZB.2_1,UZB,Uzbekistan,UZB.2_1,Bukhoro,Region,128.62091503267973
UZB.8_1,UZB,Uzbekistan,UZB.8_1,Namangan,Region,313.3103448275862
JPN.3_1,JPN,Japan,JPN.3_1,Aomori,Prefecture,1293.3142857142857
USA.31_1,USA,United States,USA.31_1,New Jersey,State,1175.5945945945946
ESP.4_1,ESP,Spain,ESP.4_1,Castilla-La Mancha,Autonomous Community,443.5083612040134
ITA.14_1,ITA,Italy,ITA.14_1,Sardegna,Autonomous Region,625.3913043478261
ALB.4_1,ALB,Albania,ALB.4_1,Elbasan,County,1032.7857142857142
MKD.78_1,MKD,Macedonia,MKD.78_1,Vevčani,Municipality,999.0
MKD.68_1,MKD,Macedonia,MKD.68_1,Struga,Municipality,874.0
MKD.19_1,MKD,Macedonia,MKD.19_1,Demir Hisar,Municipality,712.0
MKD.24_1,MKD,Macedonia,MKD.24_1,Gevgelija,Municipality,439.0
MKD.65_1,MKD,Macedonia,MKD.65_1,Star Dojran,Municipality,454.0
TUR.24_1,TUR,Turkey,TUR.24_1,Çorum,Province,493.375
ARM.10_1,ARM,Armenia,ARM.10_1,Tavush,Province,558.1
TKM.4_1,TKM,Turkmenistan,TKM.4_1,Chardzhou,Province,154.44166666666666
UZB.13_1,UZB,Uzbekistan,UZB.13_1,Tashkent City,City,453.0
PRT.20_1,PRT,Portugal,PRT.20_1,Viseu,District,1417.6
PRT.10_1,PRT,Portugal,PRT.10_1,Guarda,District,1130.7142857142858
ESP.8_1,ESP,Spain,ESP.8_1,Comunidad de Madrid,Autonomous Community,465.8333333333333
ITA.3_1,ITA,Italy,ITA.3_1,Basilicata,Region,663.9487179487179
MKD.42_1,MKD,Macedonia,MKD.42_1,Lake Ohrid,Water body,831.0
MKD.61_1,MKD,Macedonia,MKD.61_1,Resen,Municipality,810.75
MKD.4_1,MKD,Macedonia,MKD.4_1,Bitola,Municipality,689.5
MKD.50_1,MKD,Macedonia,MKD.50_1,Novatsi,Municipality,570.6666666666666
TUR.52_1,TUR,Turkey,TUR.52_1,Kocaeli,Province,779.6923076923077
TUR.66_1,TUR,Turkey,TUR.66_1,Sakarya,Province,720.1904761904761
TUR.27_1,TUR,Turkey,TUR.27_1,Düzce,Province,726.375
TUR.23_1,TUR,Turkey,TUR.23_1,Çankiri,Province,528.0344827586207
TUR.63_1,TUR,Turkey,TUR.63_1,Ordu,Province,748.0
TUR.75_1,TUR,Turkey,TUR.75_1,Trabzon,Province,850.15
TUR.65_1,TUR,Turkey,TUR.65_1,Rize,Province,1007.6923076923077
TUR.45_1,TUR,Turkey,TUR.45_1,Kars,Province,511.6923076923077
ARM.8_1,ARM,Armenia,ARM.8_1,Shirak,Province,580.9166666666666
ARM.7_1,ARM,Armenia,ARM.7_1,Lori,Province,637.5
UZB.4_1,UZB,Uzbekistan,UZB.4_1,Jizzakh,Region,352.0
KGZ.7_1,KGZ,Kyrgyzstan,KGZ.7_1,Osh,Province,441.0841121495327
PRK.3_1,PRK,North Korea,PRK.3_1,Hamgyŏng-namdo,Province,905.0428571428571
USA.6_1,USA,United States,USA.6_1,Colorado,State,421.6954365079365
PRT.1_1,PRT,Portugal,PRT.1_1,Aveiro,District,1130.111111111111
ALB.5_1,ALB,Albania,ALB.5_1,Fier,County,963.375
ALB.7_1,ALB,Albania,ALB.7_1,Korçë,County,916.4545454545455
MKD.52_1,MKD,Macedonia,MKD.52_1,Ohrid,Municipality,863.0
GRC.5_1,GRC,Greece,GRC.5_1,Epirus and Western Macedonia,Decentralized administration,839.943661971831
TUR.19_1,TUR,Turkey,TUR.19_1,Bolu,Province,582.4333333333333
TUR.6_1,TUR,Turkey,TUR.6_1,Amasya,Province,491.5217391304348
TUR.34_1,TUR,Turkey,TUR.34_1,Giresun,Province,719.4230769230769
TUR.31_1,TUR,Turkey,TUR.31_1,Erzurum,Province,578.6595744680851
AZE.2_1,AZE,Azerbaijan,AZE.2_1,Aran,Region,346.05882352941177
AZE.3_1,AZE,Azerbaijan,AZE.3_1,Daglig-Shirvan,Region,507.6818181818182
UZB.11_1,UZB,Uzbekistan,UZB.11_1,Sirdaryo,Region,316.2631578947368
TJK.4_1,TJK,Tajikistan,TJK.4_1,Leninabad,Region,432.54545454545456
UZB.1_1,UZB,Uzbekistan,UZB.1_1,Andijon,Region,260.25
CHN.2_1,CHN,China,CHN.2_1,Beijing,Municipality,521.6190476190476
ALB.1_1,ALB,Albania,ALB.1_1,Berat,County,1076.7142857142858
TUR.22_1,TUR,Turkey,TUR.22_1,Çanakkale,Province,677.2285714285714
TUR.74_1,TUR,Turkey,TUR.74_1,Tokat,Province,511.47222222222223
TUR.35_1,TUR,Turkey,TUR.35_1,Gümüshane,Province,587.8888888888889
AZE.1_1,AZE,Azerbaijan,AZE.1_1,Absheron,Region,299.57894736842104
USA.26_1,USA,United States,USA.26_1,Missouri,State,1049.7822222222221
USA.49_1,USA,United States,USA.49_1,West Virginia,State,1130.5129310344828
ESP.10_1,ESP,Spain,ESP.10_1,Comunidad Valenciana,Autonomous Community,403.0444444444444
ALB.12_1,ALB,Albania,ALB.12_1,Vlorë,County,1185.2222222222222
TUR.12_1,TUR,Turkey,TUR.12_1,Balikesir,Province,689.6
TUR.79_1,TUR,Turkey,TUR.79_1,Yalova,Province,666.75
TUR.21_1,TUR,Turkey,TUR.21_1,Bursa,Province,633.5263157894736
TUR.7_1,TUR,Turkey,TUR.7_1,Ankara,Province,432.93939393939394
ARM.1_1,ARM,Armenia,ARM.1_1,Aragatsotn,Province,482.0
ARM.6_1,ARM,Armenia,ARM.6_1,Kotayk,Province,523.2
ARM.5_1,ARM,Armenia,ARM.5_1,Gegharkunik,Province,527.55
UZB.3_1,UZB,Uzbekistan,UZB.3_1,Ferghana,Region,172.14814814814815
CHN.25_1,CHN,China,CHN.25_1,Shanxi,Province,495.2991304347826
PRK.9_1,PRK,North Korea,PRK.9_1,P'yŏngan-bukto,Province,1004.2553191489362
PRT.7_1,PRT,Portugal,PRT.7_1,Coimbra,District,1049.6666666666667
ESP.11_1,ESP,Spain,ESP.11_1,Extremadura,Autonomous Community,586.7875
ALB.6_1,ALB,Albania,ALB.6_1,Gjirokastër,County,1240.25
TUR.16_1,TUR,Turkey,TUR.16_1,Bilecik,Province,529.375
TUR.72_1,TUR,Turkey,TUR.72_1,Sivas,Province,477.6990291262136
TUR.15_1,TUR,Turkey,TUR.15_1,Bayburt,Province,550.0714285714286
AZE.10_1,AZE,Azerbaijan,AZE.10_1,Yukhari-Karabakh,Region,502.7857142857143
UZB.10_1,UZB,Uzbekistan,UZB.10_1,Samarkand,Region,347.42857142857144
JPN.2_1,JPN,Japan,JPN.2_1,Akita,Prefecture,1578.92
PRT.6_1,PRT,Portugal,PRT.6_1,Castelo Branco,District,906.5416666666666
GRC.2_1,GRC,Greece,GRC.2_1,Athos,Decentralized administration,519.0
TUR.49_1,TUR,Turkey,TUR.49_1,Kinkkale,Province,418.4117647058824
ARM.3_1,ARM,Armenia,ARM.3_1,Armavir,Province,299.8333333333333
ARM.4_1,ARM,Armenia,ARM.4_1,Erevan,City,366.0
AZE.5_1,AZE,Azerbaijan,AZE.5_1,Kalbajar-Lachin,Region,567.3913043478261
KGZ.1_1,KGZ,Kyrgyzstan,KGZ.1_1,Batken,Province,470.328125
PRK.10_1,PRK,North Korea,PRK.10_1,P'yŏngan-namdo,Province,1058.64
JPN.16_1,JPN,Japan,JPN.16_1,Iwate,Prefecture,1363.5555555555557
ITA.4_1,ITA,Italy,ITA.4_1,Calabria,Region,852.6551724137931
GRC.8_1,GRC,Greece,GRC.8_1,Thessaly and Central Greece,Decentralized administration,630.7456140350877
TUR.32_1,TUR,Turkey,TUR.32_1,Eskisehir,Province,435.8269230769231
TUR.80_1,TUR,Turkey,TUR.80_1,Yozgat,Province,440.2
TUR.38_1,TUR,Turkey,TUR.38_1,Iğdır,Province,385.38461538461536
ARM.2_1,ARM,Armenia,ARM.2_1,Ararat,Province,348.9
TKM.1_1,TKM,Turkmenistan,TKM.1_1,Ahal,Province,162.05434782608697
CHN.27_1,CHN,China,CHN.27_1,Tianjin,Municipality,547.6222222222223
PRK.14_1,PRK,North Korea,PRK.14_1,Sinŭiju,Special Administrative Region,974.0
USA.17_1,USA,United States,USA.17_1,Kansas,State,707.2669220945083
PRT.11_1,PRT,Portugal,PRT.11_1,Leiria,District,811.4545454545455
ESP.13_1,ESP,Spain,ESP.13_1,Islas Baleares,Autonomous Community,570.4
GRC.1_1,GRC,Greece,GRC.1_1,Aegean,Decentralized administration,575.6571428571428
TUR.30_1,TUR,Turkey,TUR.30_1,Erzincan,Province,617.1395348837209
TUR.4_1,TUR,Turkey,TUR.4_1,Agri,Province,495.64285714285717
ARM.11_1,ARM,Armenia,ARM.11_1,Vayots Dzor,Province,490.0
USA.8_1,USA,United States,USA.8_1,Delaware,State,1132.95
PRT.16_1,PRT,Portugal,PRT.16_1,Santarém,District,742.074074074074
GRC.7_1,GRC,Greece,GRC.7_1,"Peloponnese, Western Greece and the Ionian Islands",Decentralized administration,782.290909090909
TUR.54_1,TUR,Turkey,TUR.54_1,Kütahya,Province,643.0425531914893
TUR.51_1,TUR,Turkey,TUR.51_1,Kirsehir,Province,412.12
IRN.29_1,IRN,Iran,IRN.29_1,West Azarbaijan,Province,414.0546875
AZE.7_1,AZE,Azerbaijan,AZE.7_1,Nakhchivan,Region,343.6666666666667
ARM.9_1,ARM,Armenia,ARM.9_1,Syunik,Province,506.5882352941176
USA.21_1,USA,United States,USA.21_1,Maryland,State,1090.0333333333333
PRT.14_1,PRT,Portugal,PRT.14_1,Portalegre,District,666.4583333333334
IRN.2_1,IRN,Iran,IRN.2_1,Ardebil,Province,386.54411764705884
PRT.2_1,PRT,Portugal,PRT.2_1,Azores,'Autonomous Region',1260.9
TUR.61_1,TUR,Turkey,TUR.61_1,Nevsehir,Province,382.35
TUR.76_1,TUR,Turkey,TUR.76_1,Tunceli,Province,757.2222222222222
TUR.17_1,TUR,Turkey,TUR.17_1,Bingöl,Province,829.3333333333334
TUR.60_1,TUR,Turkey,TUR.60_1,Mus,Province,680.3214285714286
TKM.5_1,TKM,Turkmenistan,TKM.5_1,Mary,Province,217.6435331230284
UZB.6_1,UZB,Uzbekistan,UZB.6_1,Kashkadarya,Region,313.8301886792453
TJK.5_1,TJK,Tajikistan,TJK.5_1,Tadzhikistan Territories,Region,639.2692307692307
TJK.2_1,TJK,Tajikistan,TJK.2_1,Gorno-Badakhshan,Region,380.9310344827586
CHN.22_1,CHN,China,CHN.22_1,Shaanxi,Province,640.0336927223719
PRK.7_1,PRK,North Korea,PRK.7_1,Kangwŏn-do,Province,1180.5128205128206
USA.47_1,USA,United States,USA.47_1,Virginia,State,1095.4505208333333
PRT.12_1,PRT,Portugal,PRT.12_1,Lisboa,District,698.0
TUR.41_1,TUR,Turkey,TUR.41_1,Izmir,Province,699.7272727272727
TUR.56_1,TUR,Turkey,TUR.56_1,Manisa,Province,675.0212765957447
TUR.3_1,TUR,Turkey,TUR.3_1,Afyon,Province,506.0
TUR.78_1,TUR,Turkey,TUR.78_1,Van,Province,527.025641025641
IRN.5_1,IRN,Iran,IRN.5_1,East Azarbaijan,Province,317.24444444444447
AZE.6_1,AZE,Azerbaijan,AZE.6_1,Lankaran,Region,625.9
CHN.21_1,CHN,China,CHN.21_1,Qinghai,Province,315.132427184466
CHN.20_1,CHN,China,CHN.20_1,Ningxia Hui,Autonomous Region,301.18947368421055
PRK.11_1,PRK,North Korea,PRK.11_1,P'yŏngyang,Special City,1064.111111111111
USA.18_1,USA,United States,USA.18_1,Kentucky,State,1221.973544973545
TUR.53_1,TUR,Turkey,TUR.53_1,Konya,Province,480.1381578947368
TUR.47_1,TUR,Turkey,TUR.47_1,Kayseri,Province,431.50877192982455
TUR.55_1,TUR,Turkey,TUR.55_1,Malatya,Province,515.6818181818181
TUR.29_1,TUR,Turkey,TUR.29_1,Elazığ,Province,719.1666666666666
PRK.4_1,PRK,North Korea,PRK.4_1,Hwanghae-bukto,Province,1106.84375
JPN.45_1,JPN,Japan,JPN.45_1,Yamagata,Prefecture,1593.4857142857143
USA.9_1,USA,United States,USA.9_1,District of Columbia,Federal District,1057.0
PRT.8_1,PRT,Portugal,PRT.8_1,Évora,District,624.3928571428571
TUR.5_1,TUR,Turkey,TUR.5_1,Aksaray,Province,398.14285714285717
TUR.18_1,TUR,Turkey,TUR.18_1,Bitlis,Province,745.6571428571428
UZB.12_1,UZB,Uzbekistan,UZB.12_1,Surkhandarya,Region,347.8157894736842
JPN.24_1,JPN,Japan,JPN.24_1,Miyagi,Prefecture,1252.5862068965516
PRT.17_1,PRT,Portugal,PRT.17_1,Setúbal,District,629.1875
TUR.77_1,TUR,Turkey,TUR.77_1,Usak,Province,601.2352941176471
PRK.8_1,PRK,North Korea,PRK.8_1,Kumgangsan,Special Administrative Region,1223.25
ESP.1_1,ESP,Spain,ESP.1_1,Andalucía,Autonomous Community,531.645061728395
ESP.18_1,ESP,Spain,ESP.18_1,Región de Murcia,Autonomous Community,343.3953488372093
TUR.42_1,TUR,Turkey,TUR.42_1,K. Maras,Province,570.9090909090909
TUR.26_1,TUR,Turkey,TUR.26_1,Diyarbakir,Province,661.0727272727273
TJK.1_1,TJK,Tajikistan,TJK.1_1,Dushanbe,Region,562.0
TJK.3_1,TJK,Tajikistan,TJK.3_1,Khatlon,Region,522.0
PRK.5_1,PRK,North Korea,PRK.5_1,Hwanghae-namdo,Province,1042.0344827586207
TUR.25_1,TUR,Turkey,TUR.25_1,Denizli,Province,624.0
TUR.39_1,TUR,Turkey,TUR.39_1,Isparta,Province,573.8571428571429
TUR.62_1,TUR,Turkey,TUR.62_1,Nigde,Province,411.61538461538464
TUR.1_1,TUR,Turkey,TUR.1_1,Adana,Province,663.5172413793103
TUR.14_1,TUR,Turkey,TUR.14_1,Batman,Province,736.75
AFG.1_1,AFG,Afghanistan,AFG.1_1,Badakhshan,Province,526.2298136645962
KOR.6_1,KOR,South Korea,KOR.6_1,Gangwon-do,Province,1287.5671641791046
JPN.29_1,JPN,Japan,JPN.29_1,Niigata,Prefecture,1987.3636363636363
PRT.3_1,PRT,Portugal,PRT.3_1,Beja,District,563.6842105263158
ITA.15_1,ITA,Italy,ITA.15_1,Sicily,Autonomous Region,523.8191489361702
GRC.3_1,GRC,Greece,GRC.3_1,Attica,Decentralized administration,485.25
IRN.8_1,IRN,Iran,IRN.8_1,Gilan,Province,690.4117647058823
IRN.21_1,IRN,Iran,IRN.21_1,North Khorasan,Province,317.9120879120879
TUR.11_1,TUR,Turkey,TUR.11_1,Aydin,Province,711.2592592592592
TUR.2_1,TUR,Turkey,TUR.2_1,Adiyaman,Province,567.3703703703703
TUR.69_1,TUR,Turkey,TUR.69_1,Siirt,Province,760.421052631579
IRN.9_1,IRN,Iran,IRN.9_1,Golestan,Province,320.44594594594594
CHN.23_1,CHN,China,CHN.23_1,Shandong,Province,673.7025089605735
PRK.6_1,PRK,North Korea,PRK.6_1,Kaesŏng,Special Administrative Region,1218.0
KOR.8_1,KOR,South Korea,KOR.8_1,Gyeonggi-do,Province,1283.0
TUR.68_1,TUR,Turkey,TUR.68_1,Sanliurfa,Province,469.5733333333333
TKM.2_1,TKM,Turkmenistan,TKM.2_1,Aşgabat,Independent City,245.0
JPN.8_1,JPN,Japan,JPN.8_1,Fukushima,Prefecture,1428.1176470588234
TUR.20_1,TUR,Turkey,TUR.20_1,Burdur,Province,546.1428571428571
TUR.57_1,TUR,Turkey,TUR.57_1,Mardin,Province,616.4166666666666
TUR.71_1,TUR,Turkey,TUR.71_1,Sirnak,Province,745.0689655172414
TUR.36_1,TUR,Turkey,TUR.36_1,Hakkari,Province,653.0454545454545
IRN.24_1,IRN,Iran,IRN.24_1,Razavi Khorasan,Province,252.428
KOR.11_1,KOR,South Korea,KOR.11_1,Incheon,Metropolitan City,1258.5
TUR.64_1,TUR,Turkey,TUR.64_1,Osmaniye,Province,787.9090909090909
AFG.31_1,AFG,Afghanistan,AFG.31_1,Takhar,Province,657.2708333333334
KOR.16_1,KOR,South Korea,KOR.16_1,Seoul,Capital Metropolitan City,1314.5
PRT.9_1,PRT,Portugal,PRT.9_1,Faro,District,552.4705882352941
TUR.59_1,TUR,Turkey,TUR.59_1,Mugla,Province,843.7826086956521
TUR.8_1,TUR,Turkey,TUR.8_1,Antalya,Province,701.5584415584416
TUR.44_1,TUR,Turkey,TUR.44_1,Karaman,Province,525.0769230769231
TUR.33_1,TUR,Turkey,TUR.33_1,Gaziantep,Province,554.9629629629629
AFG.13_1,AFG,Afghanistan,AFG.13_1,Jawzjan,Province,209.85714285714286
JPN.15_1,JPN,Japan,JPN.15_1,Ishikawa,Prefecture,2129.0
TUN.4_1,TUN,Tunisia,TUN.4_1,Bizerte,Governorate,668.3076923076923
TUR.58_1,TUR,Turkey,TUR.58_1,Mersin,Province,638.4285714285714
SYR.1_1,SYR,Syria,SYR.1_1,Al Ḥasakah,Province,353.1058823529412
IRQ.12_1,IRQ,Iraq,IRQ.12_1,Dihok,Province,792.1923076923077
IRQ.6_1,IRQ,Iraq,IRQ.6_1,Arbil,Province,629.1764705882352
IRN.25_1,IRN,Iran,IRN.25_1,Semnan,Province,189.3179012345679
AFG.4_1,AFG,Afghanistan,AFG.4_1,Balkh,Province,213.3
AFG.19_1,AFG,Afghanistan,AFG.19_1,Kunduz,Province,281.53333333333336
DZA.39_1,DZA,Algeria,DZA.39_1,Skikda,Province,891.4375
TUN.1_1,TUN,Tunisia,TUN.1_1,Ariana,Governorate,513.0
IRN.31_1,IRN,Iran,IRN.31_1,Zanjan,Province,310.6794871794872
AFG.8_1,AFG,Afghanistan,AFG.8_1,Faryab,Province,313.26027397260276
KOR.2_1,KOR,South Korea,KOR.2_1,Chungcheongbuk-do,Province,1284.0416666666667
JPN.39_1,JPN,Japan,JPN.39_1,Tochigi,Prefecture,1453.5
USA.3_1,USA,United States,USA.3_1,Arizona,State,323.8696479543292
USA.32_1,USA,United States,USA.32_1,New Mexico,State,362.99098286744817
USA.37_1,USA,United States,USA.37_1,Oklahoma,State,877.4899224806202
DZA.13_1,DZA,Algeria,DZA.13_1,Boumerdès,Province,829.6
DZA.23_1,DZA,Algeria,DZA.23_1,Jijel,Province,1022.8
DZA.5_1,DZA,Algeria,DZA.5_1,Annaba,Province,841.8
DZA.19_1,DZA,Algeria,DZA.19_1,El Tarf,Province,889.6
TUN.7_1,TUN,Tunisia,TUN.7_1,Jendouba,Governorate,813.5
TUN.2_1,TUN,Tunisia,TUN.2_1,Béja,Governorate,603.0833333333334
TUN.13_1,TUN,Tunisia,TUN.13_1,Manubah,Governorate,516.25
TUN.16_1,TUN,Tunisia,TUN.16_1,Nabeul,Governorate,498.4
TUR.37_1,TUR,Turkey,TUR.37_1,Hatay,Province,864.7619047619048
TUR.48_1,TUR,Turkey,TUR.48_1,Kilis,Province,492.75
IRQ.16_1,IRQ,Iraq,IRQ.16_1,Ninawa,Province,401.79411764705884
IRN.20_1,IRN,Iran,IRN.20_1,Mazandaran,Province,454.84090909090907
PAK.6_1,PAK,Pakistan,PAK.6_1,Northern Areas,Centrally Administered Area,242.6872427983539
KOR.3_1,KOR,South Korea,KOR.3_1,Chungcheongnam-do,Province,1255.5862068965516
KOR.9_1,KOR,South Korea,KOR.9_1,Gyeongsangbuk-do,Province,1180.8285714285714
JPN.43_1,JPN,Japan,JPN.43_1,Toyama,Prefecture,1955.9375
JPN.26_1,JPN,Japan,JPN.26_1,Nagano,Prefecture,1546.04
JPN.10_1,JPN,Japan,JPN.10_1,Gunma,Prefecture,1476.304347826087
JPN.14_1,JPN,Japan,JPN.14_1,Ibaraki,Prefecture,1370.4347826086957
DZA.4_1,DZA,Algeria,DZA.4_1,Alger,Province,686.3333333333334
DZA.47_1,DZA,Algeria,DZA.47_1,Tizi Ouzou,Province,929.6
DZA.8_1,DZA,Algeria,DZA.8_1,Béjaïa,Province,730.3076923076923
TUN.23_1,TUN,Tunisia,TUN.23_1,Tunis,Governorate,489.0
TUN.3_1,TUN,Tunisia,TUN.3_1,Ben Arous (Tunis Sud),Governorate,485.5
SYR.2_1,SYR,Syria,SYR.2_1,Aleppo,Province,322.83076923076925
IRN.22_1,IRN,Iran,IRN.22_1,Qazvin,Province,317.44827586206895
PAK.5_1,PAK,Pakistan,PAK.5_1,N.W.F.P.,Province,600.736641221374
USA.43_1,USA,United States,USA.43_1,Tennessee,State,1357.3482587064677
USA.34_1,USA,United States,USA.34_1,North Carolina,State,1264.9644444444446
DZA.45_1,DZA,Algeria,DZA.45_1,Tipaza,Province,657.2
DZA.10_1,DZA,Algeria,DZA.10_1,Blida,Province,747.2857142857143
DZA.12_1,DZA,Algeria,DZA.12_1,Bouira,Province,625.3888888888889
DZA.29_1,DZA,Algeria,DZA.29_1,Mila,Province,680.3333333333334
DZA.21_1,DZA,Algeria,DZA.21_1,Guelma,Province,645.0714285714286
TUN.24_1,TUN,Tunisia,TUN.24_1,Zaghouan,Governorate,462.0
SYR.3_1,SYR,Syria,SYR.3_1,Ar Raqqah,Province,211.2753623188406
AFG.29_1,AFG,Afghanistan,AFG.29_1,Samangan,Province,354.2439024390244
KOR.15_1,KOR,South Korea,KOR.15_1,Sejong,Metropolitan Autonomous City,1275.0
USA.44_1,USA,United States,USA.44_1,Texas,State,703.9179487179487
USA.4_1,USA,United States,USA.4_1,Arkansas,State,1276.931174089069
DZA.14_1,DZA,Algeria,DZA.14_1,Chlef,Province,459.1666666666667
DZA.2_1,DZA,Algeria,DZA.2_1,Aïn Defla,Province,606.0588235294117
DZA.28_1,DZA,Algeria,DZA.28_1,Médéa,Province,501.07142857142856
DZA.11_1,DZA,Algeria,DZA.11_1,Bordj Bou Arréridj,Province,466.46666666666664
DZA.37_1,DZA,Algeria,DZA.37_1,Sétif,Province,492.45454545454544
DZA.15_1,DZA,Algeria,DZA.15_1,Constantine,Province,667.2857142857143
DZA.40_1,DZA,Algeria,DZA.40_1,Souk Ahras,Province,655.8666666666667
TUN.11_1,TUN,Tunisia,TUN.11_1,Le Kef,Governorate,474.77777777777777
TUN.19_1,TUN,Tunisia,TUN.19_1,Siliana,Governorate,453.73333333333335
IRQ.7_1,IRQ,Iraq,IRQ.7_1,As-Sulaymaniyah,Province,673.9142857142857
IRN.17_1,IRN,Iran,IRN.17_1,Kordestan,Province,498.61682242990656
AFG.30_1,AFG,Afghanistan,AFG.30_1,Sari Pul,Province,322.94642857142856
AFG.3_1,AFG,Afghanistan,AFG.3_1,Baghlan,Province,557.52
CHN.29_1,CHN,China,CHN.29_1,Xizang,Autonomous Region,308.1169938016529
KOR.5_1,KOR,South Korea,KOR.5_1,Daejeon,Metropolitan City,1308.0
JPN.9_1,JPN,Japan,JPN.9_1,Gifu,Prefecture,2063.769230769231
DZA.30_1,DZA,Algeria,DZA.30_1,Mostaganem,Province,383.2
TUN.20_1,TUN,Tunisia,TUN.20_1,Sousse,Governorate,353.3333333333333
SYR.10_1,SYR,Syria,SYR.10_1,Idlib,Province,480.0
SYR.7_1,SYR,Syria,SYR.7_1,Dayr Az Zawr,Province,157.27884615384616
IRN.1_1,IRN,Iran,IRN.1_1,Alborz,Province,275.3157894736842
CHN.12_1,CHN,China,CHN.12_1,Henan,Province,772.3133561643835
JPN.37_1,JPN,Japan,JPN.37_1,Shimane,Prefecture,1770.1666666666667
JPN.6_1,JPN,Japan,JPN.6_1,Fukui,Prefecture,2180.8
DZA.35_1,DZA,Algeria,DZA.35_1,Relizane,Province,421.6470588235294
DZA.34_1,DZA,Algeria,DZA.34_1,Oum el Bouaghi,Province,437.0
TUN.8_1,TUN,Tunisia,TUN.8_1,Kairouan,Governorate,320.09090909090907
KOR.13_1,KOR,South Korea,KOR.13_1,Jeollabuk-do,Province,1304.0357142857142
JPN.35_1,JPN,Japan,JPN.35_1,Saitama,Prefecture,1377.1666666666667
DZA.46_1,DZA,Algeria,DZA.46_1,Tissemsilt,Province,479.2
DZA.26_1,DZA,Algeria,DZA.26_1,M'Sila,Province,248.2
DZA.42_1,DZA,Algeria,DZA.42_1,Tébessa,Province,297.06
MLT.4_1,MLT,Malta,MLT.4_1,Tramuntana,Region,535.0
SYR.11_1,SYR,Syria,SYR.11_1,Lattakia,Province,968.8888888888889
IRN.28_1,IRN,Iran,IRN.28_1,Tehran,Province,204.6734693877551
AFG.2_1,AFG,Afghanistan,AFG.2_1,Badghis,Province,345.93150684931504
AFG.24_1,AFG,Afghanistan,AFG.24_1,Nuristan,Province,815.1515151515151
KOR.4_1,KOR,South Korea,KOR.4_1,Daegu,Metropolitan City,1151.0
JPN.47_1,JPN,Japan,JPN.47_1,Yamanashi,Prefecture,1569.0625
JPN.4_1,JPN,Japan,JPN.4_1,Chiba,Prefecture,1536.8947368421052
MAR.14_1,MAR,Morocco,MAR.14_1,Tanger - Tétouan,Region,813.5121951219512
DZA.32_1,DZA,Algeria,DZA.32_1,Oran,Province,370.2857142857143
DZA.16_1,DZA,Algeria,DZA.16_1,Djelfa,Province,224.78571428571428
DZA.6_1,DZA,Algeria,DZA.6_1,Batna,Province,308.76190476190476
