temp_difference,GID_0,NAME_0,GID_1,NAME_1,ENGTYPE_1
8.201925657,KHM,Cambodia,KHM.3_1,Kâmpóng Cham,Province
7.031617475,PHL,Philippines,PHL.54_1,Northern Samar,Province
5.41348505,BES,"Bonaire, Sint Eustatius and Saba",BES.1_1,Bonaire,Municipality
12.80939106,BEN,Benin,BEN.1_1,Alibori,Department
8.270178181,KHM,Cambodia,KHM.25_1,Tbong Khmum,Province
8.943706296,VNM,Vietnam,VNM.37_1,Lâm Đồng,Province
7.092159744,PHL,Philippines,PHL.59_1,Palawan,Province
6.946327671,PHL,Philippines,PHL.66_1,Samar,Province
6.414036708,PHL,Philippines,PHL.31_1,Eastern Samar,Province
8.53999995,NIC,Nicaragua,NIC.14_1,Masaya,Department
7.528526633,NIC,Nicaragua,NIC.8_1,Granada,Department
8.254221714,VEN,Venezuela,VEN.12_1,Falcón,State
6.6537499,GRD,Grenada,GRD.4_1,Saint George,Parish
15.08892855,GIN,Guinea,GIN.3_1,Faranah,Region
12.67707781,BFA,Burkina Faso,BFA.6_1,Centre-Sud,Region
14.6798,TCD,Chad,TCD.22_1,Ville de N'Djamena,Region
13.57931114,SSD,South Sudan,SSD.7_1,Upper Nile,State
8.477629967,IND,India,IND.27_1,Puducherry,Union Territory
7.887692371,KHM,Cambodia,KHM.9_1,Kaôh Kong,Province
7.82897565,VNM,Vietnam,VNM.10_1,Bình Phước,Province
7.52042499,VNM,Vietnam,VNM.43_1,Ninh Thuận,Province
7.991250175,NIC,Nicaragua,NIC.4_1,Carazo,Department
6.471537944,NIC,Nicaragua,NIC.10_1,Lago Nicaragua,Water body
11.2389002,GNB,Guinea-Bissau,GNB.2_1,Biombo,Region
11.8810997,GNB,Guinea-Bissau,GNB.3_1,Bissau,Autonomous Sector
12.09313003,GNB,Guinea-Bissau,GNB.8_1,Quinara,Region
11.4069493,BFA,Burkina Faso,BFA.9_1,Haut-Bassins,Region
15.14701534,TCD,Chad,TCD.18_1,Salamat,Region
13.2611578,ETH,Ethiopia,ETH.4_1,Benshangul-Gumaz,State
9.719896906,SOM,Somalia,SOM.4_1,Bari,Region
8.07778652,KHM,Cambodia,KHM.5_1,Kâmpóng Spœ,Province
7.388137732,NIC,Nicaragua,NIC.17_1,Río San Juan,Department
9.281785193,VEN,Venezuela,VEN.25_1,Zulia,State
9.188365274,DJI,Djibouti,DJI.2_1,Dikhil,Region
7.296391,KHM,Cambodia,KHM.8_1,Kândal,Province
