State_Code,State_Name,State_Type,Country_Code,Country_Name,Alt,Rain,pH,Temp_Min,Temp_Max,Texture,Fertility,Cycle
VNM.27_1,Hà Nội,City,VNM,Vietnam,22.45454545,1680.454545,6.6,25.209126908000002,31.702782372,light,moderate,329
CUB.7_1,Holguín,Province,CUB,Cuba,117.3076923,1186.346154,5.2,22.447574965999998,30.775956154,heavy,moderate,269
MRT.9_1,Inchiri,Region,MRT,Mauritania,86.3006993,47.1958042,7.350000000000001,24.023221030000002,37.33727701,light,high,0.0
LAO.9_1,Oudômxai,Province,LAO,Laos,857.9459459,1519.459459,5.1,19.45278649,30.34477031,light,moderate,299
LAO.8_1,Louangphrabang,Province,LAO,Laos,812.5230769,1588.507692,5.1000000000000005,20.00316529,29.91110233,light,moderate,299
VNM.30_1,Hoà Bình,Province,VNM,Vietnam,321.3529412,1705.705882,5.1,23.397883599500002,29.9792694405,light,moderate,329
VNM.22_1,Hải Dương,Province,VNM,Vietnam,5.8,1652.4,6.4,25.30299813,31.52308223,light,moderate,364
TCD.6_1,Ennedi Ouest,Region,TCD,Chad,556.638484,30.95043732,7.182142857142857,23.01531749,38.44933209,light,moderate,0.0
SAU.1_1,`Asir,Region,SAU,Saudi Arabia,1365.700422,186.7637131,6.994736842105262,18.678587335000003,32.698514765,light,moderate,0.0
OMN.9_1,Dhofar,Province,OMN,Oman,303.0325,98.2875,8.026470588235293,17.606889095,30.960212905,light,high,0.0
LAO.5_1,Houaphan,Province,LAO,Laos,1013.660377,1388.433962,5.1,19.4267844135,27.5580157265,light,moderate,299
MEX.21_1,Puebla,State,MEX,Mexico,1731.247619,959.3714286,6.59090909090909,12.06312178,26.69054444,light,moderate,239
MEX.4_1,Campeche,State,MEX,Mexico,100.4469274,1231.592179,7.007142857142857,20.66567379,33.43067377,light,moderate,269
CUB.5_1,Granma,Province,CUB,Cuba,170.4666667,1246.0,7.2,21.853241213500002,31.0133985065,heavy,low,269
LAO.2_1,Bokeo,Province,LAO,Laos,686.0,1649.421053,5.1,19.995381369999997,31.17091293,light,moderate,299
CUB.15_1,Santiago de Cuba,Province,CUB,Cuba,278.6,1346.45,7.050000000000001,21.532118655,29.882081185,heavy,moderate,299
SAU.2_1,Al Bahah,Region,SAU,Saudi Arabia,1210.40625,202.53125,7.1,17.775867035,30.376976445,light,moderate,0.0
VNM.57_1,Thanh Hóa,Province,VNM,Vietnam,267.5294118,1582.941176,5.533333333333334,23.7195705205,30.306046979500003,light,moderate,329
CUB.6_1,Guantánamo,Province,CUB,Cuba,310.5238095,1545.666667,5.2,21.171506762499998,28.8912933575,heavy,moderate,82.25
THA.11_1,Chiang Rai,Province,THA,Thailand,597.0294118,1435.176471,5.1,20.21816183,31.80558535,light,moderate,299
MEX.16_1,Michoacán,State,MEX,Mexico,1333.86413,939.9891304,6.6866666666666665,14.450351965000001,29.495370975,light,moderate,209
MEX.15_1,México,State,MEX,Mexico,2341.986301,963.5479452,6.75,8.911419875,24.056210225,light,moderate,209
TCD.5_1,Ennedi Est,Region,TCD,Chad,824.6008584,57.75536481,7.300000000000001,20.68310902,36.50595452,light,moderate,0.0
THA.10_1,Chiang Mai,Province,THA,Thailand,809.5,1109.228571,5.1,18.790015775,30.146615785,light,moderate,269
CHN.9_1,Hainan,Province,CHN,China,192.375,1572.326923,6.2,23.187526960499998,30.2068094195,light,moderate,364
HTI.6_1,Nord-Ouest,Department,HTI,Haiti,271.0,1197.0,5.7,19.863194805,30.753061915000004,light,moderate,269
SDN.8_1,North Darfur,State,SDN,Sudan,730.530083,136.6151452,7.271428571428572,19.90095438,36.29887274,light,high,7.25
LAO.18_1,Xiangkhoang,Province,LAO,Laos,1129.026316,1517.342105,5.1,18.4770295335,27.427928186499997,light,moderate,299
VNM.41_1,Nghệ An,Province,VNM,Vietnam,422.3653846,1442.423077,5.1,22.517108089500002,29.7138804105,light,moderate,329
HTI.7_1,Nord,Department,HTI,Haiti,343.8333333,1632.5,5.7,19.319309875000002,29.761423125,light,moderate,364
IND.32_1,Telangana,State,IND,India,336.2793296,942.9916201,6.806451612903226,21.301143765,33.015251735,light,moderate,179
MMR.5_1,Kayah,State,MMR,Myanmar,684.4117647,1228.411765,5.1,19.515139735,30.144442725,light,moderate,269
THA.23_1,Mae Hong Son,Province,THA,Thailand,772.0810811,1186.594595,5.1,19.07964604,30.03501892,light,moderate,269
LAO.15_1,Xaignabouri,Province,LAO,Laos,643.5882353,1307.176471,5.1,20.022763840000003,31.21144812,light,moderate,269
MEX.29_1,Tlaxcala,State,MEX,Mexico,2588.0,768.9166667,6.3,6.348266729999999,22.71285013,light,moderate,209
DOM.30_1,Santiago,Province,DOM,Dominican Republic,787.2857143,1309.142857,6.9,16.82550711,27.60020715,medium,moderate,365
DOM.15_1,María Trinidad Sánchez,Province,DOM,Dominican Republic,73.25,1904.5,5.7,20.5267050375,30.1465947625,light,moderate,365
MRT.11_1,Tagant,Region,MRT,Mauritania,332.3964912,84.84912281,6.909090909090909,25.724453864999997,40.241905474999996,light,moderate,0.0
THA.41_1,Phayao,Province,THA,Thailand,533.4210526,1178.947368,5.8,20.28691828,31.97440774,light,moderate,269
THA.32_1,Nan,Province,THA,Thailand,590.5,1175.7,5.1,20.008427429999998,31.49350243,light,moderate,269
MEX.8_1,Colima,State,MEX,Mexico,506.1176471,963.9411765,7.2,19.241282079999998,33.3966585,heavy,low,179
MEX.9_1,Distrito Federal,Federal District,MEX,Mexico,2593.0,890.5,6.4,8.17180841,23.24999189,light,moderate,209
SAU.12_1,Najran,Region,SAU,Saudi Arabia,914.4117647,86.97426471,7.547058823529412,18.43624379,32.03668791,light,moderate,0.0
MMR.2_1,Bago,Division,MMR,Myanmar,151.8151261,2181.932773,5.920000000000001,21.148871245000002,32.114801055,light,moderate,239
MMR.6_1,Kayin,State,MMR,Myanmar,377.8191489,2513.43617,5.285714285714286,19.861110914999998,30.542108145,light,moderate,239
THA.19_1,Lampang,Province,THA,Thailand,471.2142857,1051.619048,5.1,20.1881226,31.647506,light,moderate,269
