GID_0,NAME_0,GID_1,NAME_1,ENGTYPE_1,Sand,Silt,Clay,OC,CN,pH
SAU,Saudi Arabia,SAU.13_1,Tabuk,Region,59.711764705882345,16.65294117647059,23.64117647058823,0.9035294117647059,10.823529411764707,7.211764705882352
SAU,Saudi Arabia,SAU.9_1,Ha'il,Region,59.22903225806453,20.896774193548385,19.893548387096775,0.5851612903225807,9.64516129032258,7.322580645161289
SAU,Saudi Arabia,SAU.8_1,Ash Sharqiyah,Region,63.45,18.04824561403509,18.52719298245614,0.5949122807017543,10.114035087719298,7.6535087719298245
KWT,Kuwait,KWT.1_1,Al Ahmadi,Province,63.5,17.9,18.7,0.26,8.0,8.0
IRN,Iran,IRN.11_1,Hormozgan,Province,60.22222222222222,19.133333333333333,20.66666666666667,0.7666666666666667,11.11111111111111,7.677777777777777
NPL,Nepal,NPL.5_1,West,Development Region,48.942857142857136,22.414285714285715,28.728571428571428,2.2157142857142853,12.571428571428571,5.757142857142857
IND,India,IND.3_1,Arunachal Pradesh,State,55.943999999999996,15.816,28.240000000000006,1.7331999999999999,13.04,5.763999999999999
CHN,China,CHN.30_1,Yunnan,Province,57.429245283018886,16.990566037735853,25.588679245283014,1.1497169811320755,12.80188679245283,5.9547169811320755
CHN,China,CHN.8_1,Guizhou,Province,55.18703703703704,15.696296296296293,29.11666666666666,1.935185185185185,13.61111111111111,5.392592592592594
EGY,Egypt,EGY.10_1,Al Minya,Governorate,63.5,17.900000000000002,18.699999999999996,0.25999999999999995,8.0,8.0
PAK,Pakistan,PAK.8_1,Sind,Province,54.0,23.86428571428571,22.164285714285715,0.48821428571428577,9.214285714285714,7.167857142857143
NPL,Nepal,NPL.1_1,Central,Development Region,42.75555555555556,25.22222222222222,32.1,2.53,12.0,5.5777777777777775
MMR,Myanmar,MMR.4_1,Kachin,State,52.80769230769231,18.123076923076926,29.06923076923077,2.617692307692308,13.461538461538462,5.546153846153846
MEX,Mexico,MEX.2_1,Baja California Sur,State,47.2764705882353,27.34705882352941,25.36470588235294,0.39882352941176474,8.411764705882353,7.717647058823529
MAR,Morocco,MAR.7_1,La?�youne - Boujdour - Sakia El Hamra,Region,59.199999999999996,20.099999999999998,20.7,0.59,9.333333333333334,6.7
LBY,Libya,LBY.14_1,Ghat,District,51.355555555555554,23.822222222222223,24.822222222222223,0.4722222222222222,8.666666666666666,7.566666666666666
LBY,Libya,LBY.18_1,Sabha,District,54.92,22.76,22.36,0.30200000000000005,8.0,7.82
EGY,Egypt,EGY.18_1,Asyut,Governorate,62.58,17.559999999999995,19.94,0.40199999999999997,8.6,7.82
NPL,Nepal,NPL.2_1,East,Development Region,51.06666666666666,20.72222222222222,28.266666666666666,2.063333333333333,12.444444444444445,5.966666666666667
IND,India,IND.30_1,Sikkim,State,58.9,16.2,24.9,0.97,11.0,7.1
BTN,Bhutan,BTN.10_1,Punakha,District,53.6,15.8,30.6,2.25,14.0,5.1
BTN,Bhutan,BTN.18_1,Wangduephodrang,District,53.6,15.8,30.6,2.25,14.0,5.1
BTN,Bhutan,BTN.1_1,Bumthang,District,58.9,16.2,24.9,0.97,11.0,7.1
BTN,Bhutan,BTN.6_1,Lhuentse,District,58.9,16.2,24.9,0.97,11.0,7.1
IND,India,IND.4_1,Assam,State,46.452380952380956,19.65714285714286,33.909523809523805,1.6514285714285717,12.619047619047619,5.471428571428572
CHN,China,CHN.4_1,Fujian,Province,53.63333333333333,15.575757575757576,30.790909090909093,2.0418181818181815,14.06060606060606,5.251515151515151
MEX,Mexico,MEX.19_1,Nuevo Le??n,State,42.370000000000005,28.96999999999999,28.715000000000003,1.5309999999999997,11.7,7.255
MEX,Mexico,MEX.28_1,Tamaulipas,State,29.300000000000004,17.584999999999997,53.13500000000001,0.9570000000000001,16.7,7.1899999999999995
ESH,Western Sahara,ESH.3_1,Laayoune,Province,54.04285714285714,23.514285714285712,22.442857142857143,0.5871428571428571,9.285714285714286,6.814285714285715
