,GID_0,NAME_0,NAME_1,ENGTYPE_1,Sand,Silt,Clay,OC,CN
PER.9_1,PER,Peru,Huancavelica,Region,58.89999999999999,16.2,24.900000000000002,0.9699999999999999,11.0
BOL.4_1,BOL,Bolivia,La Paz,Department,58.214285714285715,17.060000000000006,24.76285714285714,1.2925714285714285,11.6
AGO.2_1,AGO,Angola,Benguela,Province,63.41818181818182,13.345454545454546,23.3,0.7863636363636364,11.909090909090908
ZMB.3_1,ZMB,Zambia,Eastern,Province,56.56666666666666,14.566666666666665,28.866666666666664,0.9583333333333334,10.5
PER.5_1,PER,Peru,Ayacucho,Region,58.9,16.199999999999996,24.899999999999995,0.9700000000000002,11.0
BRA.9_1,BRA,Brazil,Goi?�s,State,42.88924731182796,18.672043010752688,38.418279569892476,1.7486021505376343,12.709677419354838
ZMB.2_1,ZMB,Zambia,Copperbelt,Province,34.55,16.6,48.75,1.72,13.0
ZMB.1_1,ZMB,Zambia,Central,Province,37.290476190476184,16.809523809523803,45.89523809523809,1.611904761904762,11.0
MWI.9_1,MWI,Malawi,Kasungu,District,34.03333333333334,19.133333333333333,46.86666666666667,1.7333333333333334,12.0
MWI.20_1,MWI,Malawi,Nkhotakota,District,0.0,0.0,0.0,0.0,0.0
MDG.2_1,MDG,Madagascar,Antsiranana,Autonomous Province,31.35,19.075,49.55,2.145,11.25
PER.11_1,PER,Peru,Ica,Region,61.875,15.349999999999998,22.799999999999997,1.0150000000000001,11.75
PER.3_1,PER,Peru,Apur?�mac,Region,58.9,16.2,24.900000000000002,0.9699999999999999,11.0
PER.22_1,PER,Peru,Puno,Region,56.227777777777774,20.938888888888883,22.83333333333333,2.003888888888889,12.833333333333334
BOL.8_1,BOL,Bolivia,Santa Cruz,Department,58.21894736842106,20.771578947368415,21.054736842105267,1.1452631578947368,9.821052631578947
AGO.16_1,AGO,Angola,Namibe,Province,58.54166666666666,17.991666666666664,23.63333333333333,0.6425,9.333333333333334
AGO.10_1,AGO,Angola,Hu?�la,Province,57.019047619047626,10.052380952380954,32.92380952380953,1.0604761904761904,12.952380952380953
AGO.5_1,AGO,Angola,Cuando Cubango,Province,67.98809523809526,11.87142857142857,20.19285714285714,0.9330952380952379,12.880952380952381
MWI.14_1,MWI,Malawi,Mchinji,District,28.7,18.4,52.9,1.92,11.0
MWI.11_1,MWI,Malawi,Lilongwe,District,51.65,14.0,34.4,1.155,11.5
MWI.7_1,MWI,Malawi,Dowa,District,74.6,9.6,15.9,0.39,12.0
MWI.6_1,MWI,Malawi,Dedza,District,74.6,9.6,15.9,0.39,12.0
MOZ.7_1,MOZ,Mozambique,Nampula,Province,64.30476190476189,12.428571428571429,23.328571428571422,0.7466666666666668,11.619047619047619
BRA.13_1,BRA,Brazil,Minas Gerais,State,45.14049079754601,17.738036809815952,37.14478527607362,1.6221472392638034,12.282208588957054
ZMB.10_1,ZMB,Zambia,Western,Province,52.323076923076925,18.53076923076923,29.16153846153846,1.7284615384615387,14.692307692307692
MOZ.10_1,MOZ,Mozambique,Tete,Province,58.58571428571428,13.610714285714286,27.853571428571424,0.9492857142857142,11.5
MWI.13_1,MWI,Malawi,Mangochi,District,55.599999999999994,13.8,30.55,1.335,14.5
MDG.4_1,MDG,Madagascar,Mahajanga,Autonomous Province,57.090625,15.256249999999998,27.718749999999996,1.1812500000000001,11.1875
AUS.11_1,AUS,Australia,Western Australia,State,72.2565340909091,12.642045454545455,15.162073863636362,0.41914772727272726,12.174715909090908
PER.4_1,PER,Peru,Arequipa,Region,59.25,16.825,23.924999999999997,0.9968750000000001,11.0
ZMB.5_1,ZMB,Zambia,Lusaka,Province,57.46666666666667,13.9,28.633333333333336,0.9016666666666665,10.333333333333334
MWI.22_1,MWI,Malawi,Ntcheu,District,28.7,18.4,52.9,1.92,11.0
MWI.12_1,MWI,Malawi,Machinga,District,70.8,12.8,16.5,1.15,14.0
AGO.8_1,AGO,Angola,Cunene,Province,65.75625,13.162500000000001,21.2125,0.62625,10.5625
ZMB.9_1,ZMB,Zambia,Southern,Province,43.8,14.499999999999998,41.690909090909095,1.1659090909090908,12.5
MWI.18_1,MWI,Malawi,Neno,District,74.6,9.6,15.9,0.39,12.0
MWI.28_1,MWI,Malawi,Zomba,District,68.4,10.5,21.2,0.6,10.0
MOZ.11_1,MOZ,Mozambique,Zambezia,Province,57.51111111111111,12.670370370370373,29.85925925925926,1.0303703703703702,12.222222222222221
MDG.5_1,MDG,Madagascar,Toamasina,Autonomous Province,31.41764705882353,19.17647058823529,49.40588235294118,4.515882352941177,14.058823529411764
VUT.3_1,VUT,Vanuatu,Sanma,Province,34.2,15.5,50.2,2.76,8.0
BOL.2_1,BOL,Bolivia,Cochabamba,Department,54.20625,18.55625,27.237499999999997,1.389375,11.1875
BRA.7_1,BRA,Brazil,Distrito Federal,Federal District,23.5,27.4,49.1,2.63,14.0
ZWE.6_1,ZWE,Zimbabwe,Mashonaland West,Province,67.28666666666668,12.286666666666664,20.479999999999997,0.636,11.6
ZWE.4_1,ZWE,Zimbabwe,Mashonaland Central,Province,69.41428571428573,11.285714285714283,19.35714285714286,0.5414285714285715,11.285714285714286
MWI.3_1,MWI,Malawi,Chikwawa,District,74.6,9.6,15.9,0.39,12.0
MWI.15_1,MWI,Malawi,Mulanje,District,68.4,10.5,21.2,0.6,10.0
PER.19_1,PER,Peru,Moquegua,Region,58.9,16.2,24.9,0.97,11.0
MOZ.4_1,MOZ,Mozambique,Manica,Province,54.805882352941175,11.935294117647057,33.22941176470589,0.9288235294117647,13.705882352941176
NAM.6_1,NAM,Namibia,Kunene,Region,51.851612903225806,18.487096774193546,29.700000000000003,0.698709677419355,13.548387096774194
ZWE.8_1,ZWE,Zimbabwe,Matabeleland North,Province,57.34444444444445,15.511111111111111,27.144444444444446,0.8333333333333333,12.444444444444445
ZWE.5_1,ZWE,Zimbabwe,Mashonaland East,Province,74.6,9.6,15.9,0.39,12.0
MOZ.9_1,MOZ,Mozambique,Sofala,Province,76.30588235294118,9.005882352941176,14.788235294117646,0.5958823529411764,11.529411764705882
PER.24_1,PER,Peru,Tacna,Region,58.9,16.2,24.899999999999995,0.9700000000000001,11.0
BOL.5_1,BOL,Bolivia,Oruro,Department,56.407692307692294,23.36923076923077,20.323076923076922,1.073846153846154,9.76923076923077
BRA.11_1,BRA,Brazil,Mato Grosso do Sul,State,64.591,12.030000000000003,23.392000000000003,0.9736,12.09
NAM.9_1,NAM,Namibia,Omusati,Region,54.63333333333333,18.966666666666665,26.53333333333333,0.47333333333333333,13.0
NAM.7_1,NAM,Namibia,Ohangwena,Region,57.6,13.5,29.0,0.39,9.0
NAM.4_1,NAM,Namibia,Kavango,Region,92.6,3.6,3.7,0.87,15.0
NAM.13_1,NAM,Namibia,Zambezi,Region,91.9,3.2,5.0,0.23,10.0
ZWE.10_1,ZWE,Zimbabwe,Midlands,Province,69.88461538461539,10.999999999999998,19.176923076923078,0.5161538461538461,11.692307692307692
ZWE.3_1,ZWE,Zimbabwe,Manicaland,Province,73.71,9.89,16.479999999999997,0.41600000000000004,11.7
FJI.5_1,FJI,Fiji,Western,Division,38.25,29.35,32.4,1.255,9.5
CHL.4_1,CHL,Chile,Arica y Parinacota,Region,56.06666666666666,20.46666666666667,23.46666666666667,0.7466666666666667,10.0
BOL.7_1,BOL,Bolivia,Potos?�,Department,57.730000000000004,19.013333333333335,23.28666666666667,0.8653333333333333,10.3
BRA.8_1,BRA,Brazil,Esp?�rito Santo,State,42.28181818181818,13.172727272727274,44.50909090909091,1.5772727272727274,12.181818181818182
NAM.10_1,NAM,Namibia,Oshana,Region,52.7,11.0,36.4,0.385,13.0
NAM.11_1,NAM,Namibia,Oshikoto,Region,31.700000000000006,21.714285714285715,46.61428571428571,0.8957142857142857,23.714285714285715
BWA.12_1,BWA,Botswana,North-West,District,79.52000000000001,9.120000000000001,11.38,1.0379999999999998,14.4
BWA.2_1,BWA,Botswana,Chobe,District,47.7,13.600000000000001,38.75,0.915,14.5
